method,valid_fraction,flat_region_roughness_m,rgb_depth_edge_f1,temporal_residual_m,hole_recovery_coverage,hole_recovery_mae_m,hole_within_5cm_fraction,three_view_plane_rmse_m,three_view_plane_rmse_std_m,feature_multiview_median_residual_m,roi_valid_fraction,roi_surface_roughness_m,roi_boundary_valid_fraction,roi_sensor_preservation_median_ae_m
raw_aligned,0.2824403825995807,3.333290417989095e-05,0.15174405971638116,0.0018166688581307728,0.0,,,0.007737103766695788,0.0007581396613356953,,0.49120586341794603,0.0,0.48247690394749093,0.0
cdm_camera_specific,0.8649671612945492,0.0,0.40795409670075516,0.004583331818381945,0.9936724812628507,0.019217641185685645,0.9068590804720457,0.00894321979198961,0.000747491216832447,,0.9978819532884181,0.0,0.9994466468833915,0.005273964007596492
cdm_sensor_fused,0.8655648912473793,0.0,0.3695064418376134,0.0048833331714073815,0.9936724812628507,0.019217641185685645,0.9068590804720457,0.009024633709936792,0.0009804471153966924,,0.99878263508015,0.0,0.9995818854110333,0.0
