method,valid_fraction,flat_region_roughness_m,rgb_depth_edge_f1,temporal_residual_m,hole_recovery_coverage,hole_recovery_mae_m,hole_within_5cm_fraction,three_view_plane_rmse_m,three_view_plane_rmse_std_m,feature_multiview_median_residual_m,roi_valid_fraction,roi_surface_roughness_m,roi_boundary_valid_fraction,roi_sensor_preservation_median_ae_m
raw_aligned,0.6540188788434661,0.0003388885822561052,0.2867885187296765,0.01124444959892167,0.0,,,0.007436887572092422,0.0016965382417637163,,0.645871183908546,5.023858763954857e-06,0.612103341900077,0.0
rgb_guided,0.6663099449685533,0.0011000016497241126,0.25144089350926774,0.012366681463188596,0.4309325178206022,0.06953126004700919,0.8210968482571488,0.007428939428111823,0.0013488636935876236,,0.7086271687755737,0.0002598472464391996,0.7014005505682125,0.003786023226177942
temporal_rgb_guided,0.6662897449336128,0.0011666649745570288,0.2519085848833981,0.01063333766327964,0.4309325178206022,0.06775934378976328,0.8276194948862451,0.007417843371455444,0.0014611596297229499,,0.708462891347863,0.0003185864939002329,0.7011707278807432,0.004233605453396956
lingbot_v05,0.9934243972746332,0.0005999984012709723,0.4370790063231823,0.0037222274475627475,0.9965033392547953,0.10009606626906598,0.80975053875055,0.006896013966100283,0.001642037447115546,,0.9998615925627455,0.0007207185497377731,0.9991313588172509,0.018147229858224045
depth_anything_v2_fused,0.8940204074947591,0.00013888817694452074,0.31555237755888443,0.011322226540909874,0.8932787659373524,0.10070566258682179,0.6993958464443046,0.007427581328039946,0.0015050493354461596,,0.8658332255979503,3.0143231010893312e-05,0.9035375076124326,6.210114014696911e-05
lingbot_v05_sensor_fused,0.9947026773235501,0.0004944427145851983,0.32933956846395823,0.004477776752577887,0.9971891794652695,0.0878090966025487,0.8348329048843187,0.007326697619443632,0.0016854558060048791,,0.9998745632547581,0.00027210228085708014,0.9992644491504423,7.291985155815523e-05
ai_consensus_fused,0.8673410202655486,0.0002833308859003915,0.31553938557789984,0.010000000728501214,0.8310247127341414,0.05890421460430786,0.816703421590248,0.007464786932089613,0.0013831172268165823,,0.8588698689220293,2.9465330369544757e-05,0.888789258750581,6.210114014696911e-05
